candidate,popular/poll,electoral,win,inc,turnout,party
trump,46.09,56.51,1,0,55.7,0
clinton,48.18,43.49,0,0,55.7,1
obama,51.06,61.71,1,1,54.9,1
romney,48.2,38.29,0,0,54.9,0
obama,52.93,67.84,1,0,58.2,1
mccain,45,32.16,0,0,58.2,0
bush,50.73,53.16,1,1,55.7,0
kerry,49.27,46.84,0,0,55.7,1
bush,47.87,50.37,1,0,50.3,0
gore,47.3,49.63,0,0,50.3,1
clinton,49.23,70.45,1,1,49,1
dole,41,29.55,0,0,49,0
clinton,43.01,68.77,1,0,55.2,1
bush,37.5,31.23,0,1,55.2,0
bush,53.37,79.18,1,0,50.3,0
dukakis,46,20.82,0,0,50.3,1
reagan,58.77,97.58,1,1,53.3,0
mondale,41.23,2.42,0,0,53.3,1
reagan,58.77,90.89,1,0,52.8,0
carter,40.5,9.11,0,1,52.8,1
carter,50.08,55.2,1,0,53.6,1
ford,48.2,44.8,0,0,53.6,0
nixon,60.67,96.65,1,1,55.1,0
mcgovern,37,3.35,0,0,55.1,1
nixon,43.42,55.95,1,0,60.7,0
humphrey,42.7,44.05,0,0,60.7,1
johnson,61.05,90.33,1,1,61.4,1
goldwater,38.95,9.67,0,0,61.4,0
kennedy,49.72,56.42,1,0,62.8,1
nixon,50.28,43.58,0,0,62.8,0
eisenhower,57.37,86.06,1,1,59.3,0
stevenson,42.63,13.94,0,0,59.3,1
eisenhower,55.18,83.24,1,0,61.6,0
stevenson,44.82,16.76,0,0,61.6,1
truman,49.55,57.06,1,0,51.1,1
dewey,50.45,42.94,0,0,51.1,0
roosevelt,53.39,81.36,1,1,56.1,1
dewey,46.61,18.64,0,0,56.1,0
roosevelt,54.74,84.56,1,1,58.8,1
willkie,45.26,15.44,0,0,58.8,0
roosevelt,60.8,98.49,1,1,56.9,1
landon,39.2,1.51,0,0,56.9,0
roosevelt,57.41,88.89,1,0,52.6,1
hoover,42.59,11.11,0,0,52.6,0
hoover,58.21,83.62,1,0,56.9,0
smith,41.79,16.38,0,0,56.9,1
coolidge,54.04,71.49,1,0,48.9,0
davis,45.96,28.51,0,0,48.9,1
harding,60.32,71.49,1,0,49.2,0
cox,39.68,28.51,0,0,49.2,0
wilson,49.24,52.17,1,1,61.6,1
hughes,50.76,47.83,0,0,61.6,0
wilson,41.84,81.96,1,0,58.8,1
roosevelt,58.16,18.04,0,0,58.8,1
taft,51.57,66.46,1,0,65.4,1
bryan,48.43,33.54,0,0,65.4,0
roosevelt,56.42,70.59,1,0,65.2,1
parker,43.58,29.41,0,0,65.2,0
mckinely,51.64,65.32,1,1,73.2,0
bryan,48.36,34.68,0,0,73.2,1
mckinely,51.02,60.63,1,0,79.3,0
bryan,48.98,39.37,0,0,79.3,1
cleveland,46.02,62.39,1,0,74.7,1
harrison,53.98,37.61,0,1,74.7,0
harrison,47.8,58.1,1,0,79.3,0
cleveland,52.2,41.9,0,1,79.3,1
cleveland,48.85,54.61,1,0,77.5,1
blaine,51.15,45.39,0,0,77.5,0
garfield,48.31,57.99,1,0,79.4,1
hancock,51.69,42.01,0,0,79.4,0
hayes,47.92,50.14,1,0,81.8,1
tilden,52.08,49.86,0,0,81.8,0
